lsoa_code,lsoa_name,la_name,wimd_2025_rank,income_rank,employment_rank,health_rank,education_rank,access_rank,housing_rank,community_safety_rank,physical_env_rank,wimd_2025_score,income_score,employment_score,health_score,education_score,access_score,housing_score,community_safety_score,physical_env_score,drd_category,wimd_2019_rank,wimd_2014_rank,wimd_2011_rank,wimd_2008_rank,wimd_2005_rank,ruc_code,ruc_name,rural_urban,access_rank_gap,housing_rank_gap
W01000003,Amlwch Port,Isle of Anglesey,570,407,589,566,607,1301,618,582,820,26.1163711385233,34.6183786555975,26.5183901566588,27.3977881755914,25.8528784830079,8.79236787018381,25.4554579816815,26.7824915091031,19.1645201635088,LSOAs never ranked in top 50 most deprived,550,500,527,459,547,RLF1,Larger rural: Further from a major town or city,Rural,731,48
W01000004,Amlwch Rural,Isle of Anglesey,1132,1215,1061,1574,637,263,844,1447,1543,15.7235856476016,10.3357026259726,13.388049625384,4.48389817521544,24.7847753801216,43.9675312221797,18.5197093709096,6.38838697965858,4.93443101457545,LSOAs never ranked in top 50 most deprived,1100,1126,768,811,715,RSF1,Smaller rural: Further from a major town or city,Rural,-869,-288
W01000005,Beaumaris,Isle of Anglesey,676,719,810,983,428,491,792,718,375,23.4807198176863,22.095569808014705,19.4386197060457,15.1037513169693,33.524474867068,30.5240802001074,19.9403841096694,22.1265411904144,36.3922338075472,LSOAs never ranked in top 50 most deprived,1065,1231,1032,1137,1182,RLF1,Larger rural: Further from a major town or city,Rural,-185,116
W01000006,Bodffordd,Isle of Anglesey,991,1309,1227,1104,1301,145,180,1462,1870,17.6457297370363,8.65393010916411,10.1140357324734,12.4942256906992,8.79236787018381,56.1411768663389,51.8149142947811,6.15505949084693,0.575593267767309,LSOAs never ranked in top 50 most deprived,1116,933,917,846,839,RSF1,Smaller rural: Further from a major town or city,Rural,-846,-811
W01000007,Bodorgan,Isle of Anglesey,1026,1168,1201,1742,1417,113,175,1441,1622,17.202879096119,11.225070745121,10.5970433761167,2.18488617544616,6.86226541397567,60.9654380577152,52.3853202108301,6.48238480299949,3.8032581559873706,LSOAs never ranked in top 50 most deprived,1036,972,870,879,797,RSF1,Smaller rural: Further from a major town or city,Rural,-913,-851
W01000008,Braint,Isle of Anglesey,1833,1615,1680,1622,1736,1686,1397,1566,1523,3.77756370550055,3.90127238409541,3.0068182690504,3.8032581559873706,2.26315653907452,2.92598033764537,7.18369696311483,4.59932251839442,5.22985203912699,LSOAs never ranked in top 50 most deprived,1820,1781,1811,1787,1692,RLF1,Larger rural: Further from a major town or city,Rural,-147,-436
W01000009,Bryngwran,Isle of Anglesey,573,717,855,917,627,275,82,869,1410,26.1010562261275,22.1575543345572,18.2301063273758,16.6626755924952,25.1353271859448,43.0258094753443,66.859958217564,17.8667173033409,6.9742561972193,LSOAs never ranked in top 50 most deprived,819,742,486,483,498,RSF1,Smaller rural: Further from a major town or city,Rural,-298,-491
W01000010,Brynteg,Isle of Anglesey,1249,1354,1288,1445,921,356,581,1527,1182,13.7933737050356,7.89037234129321,9.01912172048089,6.4196769228278,16.5651270025312,37.5140585258403,26.8204690556212,5.17046349396186,10.9565376957681,LSOAs never ranked in top 50 most deprived,1624,1485,1500,1487,1268,RLF1,Larger rural: Further from a major town or city,Rural,-893,-668
W01000011,Cadnant (Isle of Anglesey),Isle of Anglesey,1550,1171,1409,1649,1604,1594,1435,475,594,8.82784153029292,11.167263427797,6.99029948801807,3.42906811927115,4.05614363843974,4.19784638697523,6.57676835943883,31.2498052753694,26.3315859297246,LSOAs never ranked in top 50 most deprived,1377,1634,1602,1625,1630,RLF1,Larger rural: Further from a major town or city,Rural,44,-115
W01000012,Cefni,Isle of Anglesey,1348,807,993,1121,1443,1259,1442,1238,1690,12.1702682983995,19.5214906192099,14.8765039443765,12.1502172313369,6.4510094918429,9.53316063392553,6.46669179736645,9.91270089384097,2.87224579783897,LSOAs never ranked in top 50 most deprived,1494,1409,1649,1690,1589,RLF1,Larger rural: Further from a major town or city,Rural,-89,94
